term,definition,exactMatch_label,exactMatch_link,exactMatch_description,closeMatch_label,closeMatch_link,closeMatch_description,relatedMatch_label,relatedMatch_link,relatedMatch_description
Campylobacter jejuni,Gram-negative bacterial species that can cause diarrhoea in people,Campylobacter jejuni,https://www.wikidata.org/wiki/Q265488,species of bacterium,Campylobacter,https://www.wikidata.org/wiki/Q131488,genus of Gram-negative bacteria,campylobacteriosis,https://www.wikidata.org/wiki/Q683861,infections caused by a genus of Gram-negative bacteria
Cow's milk,"Whole, fresh, lacteal secretion obtained by the complete milking of one or more healthy cows",cow's milk,https://www.wikidata.org/wiki/Q10988133,milk produced by female cattle,milk,https://www.wikidata.org/wiki/Q8495,white liquid produced by the mammary glands of mammals,milk powder,https://www.wikidata.org/wiki/Q496696,dehydrated milk
Highway,"A main road, especially one connecting major towns or cities",highway,https://www.wikidata.org/wiki/Q269949,a public road intended for rapid movement of motor vehicles between major towns,road,https://www.wikidata.org/wiki/Q34442,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road transport infrastructure,https://www.wikidata.org/wiki/Q27955379,infrastructure related to road transport
Temperature,"The specific degree of hotness or coldness of the body, regulated by the hypothalamus to stay within a specific range, usually around 37°C",human body temperature,https://www.wikidata.org/wiki/Q16679262,typical temperature range found in humans,temperature,http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature,Temperature is the extent to which an object is hot.,fever,https://www.wikidata.org/wiki/Q38933,common medical sign characterized by elevated body temperature
Cattle,"Domesticated bovine animals raised for their meat, milk, or hides",cattle,https://www.wikidata.org/wiki/Q4767951,domesticated bovine as livestock (for the taxon use Q830),Bovidae,https://www.wikidata.org/wiki/Q25497,family of mammals,livestock,https://www.wikidata.org/wiki/Q103459,"domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor"
Aedes mosquito,"A small, dark mosquito with white markings and which is a primary vector for transmitting several viruses",Aedes aegypti,https://www.wikidata.org/wiki/Q1148004,"mosquito species, a vector for diseases including yellow fever and Zika fever",Culicidae,https://www.wikidata.org/wiki/Q7367,family of nematoceran flies,vector,https://www.wikidata.org/wiki/Q107994,agent that carries and transmits an infectious pathogen into another living organism
Smallholder farmer,"Small-scale farmers, pastoralists, forest keepers, fishers who manage areas varying from less than one hectare to 10 hectares",smallholder,https://www.wikidata.org/wiki/Q1746361,small-scale farmer,farmer,https://www.wikidata.org/wiki/Q131512,"person engaged in agriculture, raising living organisms for food or raw materials",farm,https://www.wikidata.org/wiki/Q131596,"area of land for farming, or, for aquaculture, lake, river or sea, including various structures"
Zoonosis,A disease which can be transmitted to humans from animals,zoonosis,https://www.wikidata.org/wiki/Q182672,infectious disease that can be transmitted from one animal species to another (or human),Zoonotic bacterial disease,http://purl.bioontology.org/ontology/SNOMEDCT/23002003,Zoonotic bacterial disease,infection epidemiology,https://www.wikidata.org/wiki/Q1662333,subdiscipline of epidemiology
Earth,The third planet from the sun,Earth,https://www.wikidata.org/wiki/Q2,third planet from the Sun in the Solar System,planet,https://www.wikidata.org/wiki/Q634,celestial body directly orbiting a star or stellar remnant,Global warming,https://www.wikidata.org/wiki/Q7942,change in the statistical distribution of weather patterns for an extended period
Antibody,"A protein component of the immune system that circulates in the blood, recognizes foreign substances like bacteria and viruses, and neutralizes them",antibody,https://www.wikidata.org/wiki/Q79460,immune system protein,blood proteins,https://www.wikidata.org/wiki/Q425056,proteins present in blood plasma,immune response,https://www.wikidata.org/wiki/Q1612119,immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat
Nosocomial infection,An infection that is acquired in a hospital setting,hospital-acquired infection,https://www.wikidata.org/wiki/Q215509,nosocomial infection,iatrogenesis,https://www.wikidata.org/wiki/Q284220,"causation of a disease, a harmful complication, or other ill effect by any medical activity, including diagnosis, intervention, error, or negligence",inpatient care,https://www.wikidata.org/wiki/Q1431847,care of patients whose condition requires admission to a hospital
Ecology,A biological science concerned with the interrelationship of organisms and their environments,ecology,https://www.wikidata.org/wiki/Q7150,scientific study of the relationships between living organisms,environmental science,https://www.wikidata.org/wiki/Q188847,interdisciplinary field that studies human interaction with the environment,conservation biology,https://www.wikidata.org/wiki/Q641498,study of threats to biological diversity
Prophylaxis,Healthcare measures that are taken to prevent disease in preventive medicine,prophylaxis,https://www.wikidata.org/wiki/Q12830395,"an action taken to prevent disease, especially by specified means or against a specified disease",disease prevention,https://www.wikidata.org/wiki/Q106807541,acting to avoid the ocurrence of certain diseases in an organism or a population,risk factor,https://www.wikidata.org/wiki/Q1475848,"variable or factor associated with an increased risk of disease or infection, with the association being frequently correlational and not necessarily causal"
Transistor,"A small electrical device containing a semiconductor, used in televisions, radios, etc. to control or increase an electric current",transistor,https://www.wikidata.org/wiki/Q5339,a semiconductor device,integrated circuit,https://www.wikidata.org/wiki/Q80831,"electronic circuit formed on a small, flat piece of semiconductor material",electronic engineering,https://www.wikidata.org/wiki/Q126095,"electrical engineering discipline which utilizes nonlinear and active electrical components to design electronic circuits, devices, and their systems"
Hyperinflation,A condition where the price of everything in a national economy goes out of control and increases very quickly,hyperinflation,https://www.wikidata.org/wiki/Q185565,very high and rapidly accelerating inflation,inflation,https://www.wikidata.org/wiki/Q35865,rise in price level in an economy over time,monetary policy,https://www.wikidata.org/wiki/Q178476,subclass of the economic policy
Mitochondria,An organelle that acts as a cell's powerhouse,mitochondrion,https://www.wikidata.org/wiki/Q39572,organelle in eukaryotic cells responsible for respiration,organelle,https://www.wikidata.org/wiki/Q45948,organized cell-level biological structure of distinctive morphology and function,mitochondrial disease,https://www.wikidata.org/wiki/Q935710,spontaneously occuring or inherited disorder that involves mitochondrial dysfunction
Causality,The relationship between cause and effect,causality,https://www.wikidata.org/wiki/Q179289,how one process influences another,causal relationship,https://www.wikidata.org/wiki/Q130278256,relationship between cause and effect,correlation,https://www.wikidata.org/wiki/Q186290,"any statistical relationship, whether causal or not, between two random variables or bivariate data"
Epidemic,"An increase, often sudden, in the number of cases of a disease above what is normally expected in that population in that area",epidemic,https://www.wikidata.org/wiki/Q44512,rapid spread of infectious disease to a large number of people in a given population within a short period of time,disease outbreak,http://purl.bioontology.org/ontology/CSP/0715-6289,sudden increase in the incidence of a disease; the concept includes epidemics.,pandemic,https://www.wikidata.org/wiki/Q12184,epidemic of infectious disease that has spread across a large region with global health impact
Mutation,Any change in the DNA sequence of a cell,mutation,https://www.wikidata.org/wiki/Q42918,change of the nucleotide sequence of the genome of an organism,genetic variation,https://www.wikidata.org/wiki/Q349856,variation in the genome,allele,https://www.wikidata.org/wiki/Q80726,one of alternative forms of the same gene
Trademark,"A name or symbol on a product that shows it was made by a particular company, and that it cannot be used by other companies without permission",trademark,https://www.wikidata.org/wiki/Q167270,trade identifier of products or services,trade name,https://www.wikidata.org/wiki/Q1417728,name which a business trades under for commercial purposes,copyright,https://www.wikidata.org/wiki/Q1297822,legal concept in common law regulating rights related to original creative work
